policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open
flat_seed_0,flat,0,none,crowded_ood:5:4077794231,4077794231,5,crowded_ood,crowded,False,False,False,False,False,False,True,True,157,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,6d191a3acca1905fb3d4a2fee93236d3ab6ade0031b0a4736de2593b603e637e,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:4:2374347537,2374347537,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,127,physics_failure,7ce364404dd3d18a68e2dfce0e4ca1b9cec8bd1dc9e57587bcc29553705ae73a,9579ee503c5de2eacece9df237352c592b639b01c72a3c9e0531f64e250234a4,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:4:3436826978,3436826978,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,136,physics_failure,a94ff4a8bcc0b9ddd9899027e2091071ff52c549c0bcea8f7f22cc5e23d89418,7734f2ca1201df14521178f72ab782307566e47e63177e53b8596b7cdfc9fe57,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:4:4256250480,4256250480,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,122,physics_failure,1ac89b74351ca46f6ae7558abf3b6ecf087dd4a45db823019d525b0e00afeeb4,0b2f8734213f12359455310b9f203487091c741578497ff480335b9acc02b430,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:4:340168607,340168607,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,127,physics_failure,3cf9470d6b87349bb402183c39f78369bf1241e5d71cc0c572605400f126cb22,f44bcf0f6ef6bbf3dd4d75e4eb9faac4d335aac1fd5c7c3a15ec2d63bc22d169,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:4:757636248,757636248,4,controlled_randomization,normal,False,False,False,False,False,False,True,True,121,physics_failure,e8137cf65310855696a91cb4ee7944ecd7ff21fc3a08869b6ea5ad7e5a0ab8ff,d3b8190a9e92f6028d6a819b4bb3ce72734e59f6e8791f9202d7eedc2bfabf57,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:5:3706993016,3706993016,5,controlled_randomization,normal,False,False,False,False,False,False,True,True,122,physics_failure,22d42f44790f02e099372336acd360d85d9273a088660d7f7d3258d3a683e58c,005727fd392609a0aa5cdc212ab6f7421a141c30e0686da1b5a78c5d2009ba33,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:5:3375951679,3375951679,5,controlled_randomization,normal,False,True,False,True,False,False,False,False,56,wrong_object,6a149438b2b9255a0f98413a904369cf0553308f44d15d283091fcaf4ada306d,aff513e333bd85c6a497982288e01916f00e4191283f7bc457322c1b1203eced,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:5:968168779,968168779,5,controlled_randomization,normal,False,False,False,False,False,False,True,True,129,physics_failure,e9ad4074c054d6cc8eb20f476d09dc0c86576208d055afead0a04fe295c7f511,c0e4581c182fbc9c52f5277e8598534e8f697499552ca81c60a072183ae8d182,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:5:1828742673,1828742673,5,controlled_randomization,normal,False,False,False,False,False,False,True,True,129,physics_failure,e7f871035de72adb935959316e1ae20c2cd2521393823f6e8ee94d1ce9690864,ba7ee0bc941e33d8e7d0bb5cc976880200fb9de57c6f6a961435a3f3d49fbb01,0.0,0.0,False
flat_seed_0,flat,0,none,controlled_randomization:5:2154484642,2154484642,5,controlled_randomization,normal,False,False,False,False,False,False,True,True,151,physics_failure,9f695c50a83cef05587df35104b26e0a6cab81f361091075f38d8be1b685ae4c,3d5af7cb6301016ef118612018479058377834cb4cd0e5a3e1efff1f5f63eb01,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:2:3178023727,3178023727,2,id_normal,normal,False,False,False,False,False,False,True,True,99,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,dabe9b286006893f5c296888ac031b3bc3011ba018eb15c1a8ab64ef5044f4db,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:2:3454049552,3454049552,2,id_normal,normal,False,False,False,False,False,False,True,True,91,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,58ab578bdc705fa2b81ca00b59bc767ca17ec3141f3f1420a4dc31c59a1d6bfa,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:2:251240799,251240799,2,id_normal,normal,False,False,False,False,False,False,True,True,109,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,29e4d90eaef2d5cffcc8f7afa2c0314991ba66ef3037de423b6559032b0b60f4,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:2:3009000111,3009000111,2,id_normal,normal,False,False,False,False,False,False,True,True,89,physics_failure,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,35dd5fa3b24ec8a09dc9f4968edb15fe9fe6848c6d9424ea30c32614223c1ebc,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:2:2057736129,2057736129,2,id_normal,normal,False,True,True,False,False,True,False,False,180,timeout,23ab636f45e2cb507632850edbcc657db3cf80a7c9b29eaf0e46c11e19e0b198,26f4ceb70bbe954c0ea3b09b34a2746eb6ddc4bb9681450fb31693fce19fcec4,0.2753772046416998,0.9200980117589714,False
graph_seed_0,graph,0,none,id_normal:3:337141941,337141941,3,id_normal,normal,False,False,False,False,False,False,True,True,159,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,1fb8db72bbe277c7aac52466174b24c50b1080846391490650351d380c7e03ac,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:3:3856995046,3856995046,3,id_normal,normal,False,False,False,False,False,False,True,True,88,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,393b25c7efaed6f31f6766b6ca79bd770c43fecd1b8e3248c6b5009cd5bbbcb1,0.0,0.0,False
graph_seed_0,graph,0,none,id_normal:3:3034168427,3034168427,3,id_normal,normal,False,False,False,False,False,False,True,True,84,physics_failure,70071402e99722a0a17822441cba244dcb48be455d447c2a5b68840ba01275c7,f8823cfdfe4f331b13e1ccdde2c1eef6c192be93bc9a69c6eb74882dee62a2f1,0.0,0.0,False
